date,services,abbrev,time,filename_each,streetlevel_airtemp_c,turnstile_level_airtemp_c
070824,1,SF,A,"FLIR0708241SFA01, FLIR0708241SFA02, FLIR0708241SFA03, FLIR0708241SFA04, FLIR0708241SFA05, FLIR0708241SFA06",33.9,
070824,1,WTC,A,"FLIR0708241WTCA01, FLIR0708241WTCA02, FLIR0708241WTCA03, FLIR0708241WTCA04, FLIR0708241WTCA05",31.5,
070924,1,SF,A,"FLIR0709241SFA01, FLIR0709241SFA02, FLIR0709241SFA03",31.7,
070924,1,WTC,A,"FLIR0709241WTCA01, FLIR0709241WTCA02, FLIR0709241WTCA03, FLIR0709241WTCA04",32.3,
071024,1,SF,A,"FLIR0710241SFA01, FLIR0710241SFA02",33.5,
071024,1,WTC,A,"FLIR0710241WTCA01, FLIR0710241WTCA02, FLIR0710241WTCA03, FLIR0710241WTCA04",31.9,
071524,1,SF,A,"FLIR0715241SFA01, FLIR0715241SFA02, FLIR0715241SFA03, FLIR0715241SFA04, FLIR0715241SFA05, FLIR0715241SFA06",33.9,
071524,1,WTC,A,"FLIR0715241WTCA01, FLIR0715241WTCA02, FLIR0715241WTCA03, FLIR0715241WTCA04, FLIR0715241WTCA05",31.5,
071624,1,SF,A,"FLIR0716241SFA01, FLIR0716241SFA02, FLIR0716241SFA03, FLIR0716241SFA04",34.5,
071624,1,WTC,A,"FLIR0716241WTCA01, FLIR0716241WTCA02, FLIR0716241WTCA03, FLIR0716241WTCA04",31.9,
071724,1,SF,A,"FLIR0717241SFA01, FLIR0717241SFA02, FLIR0717241SFA03, FLIR0717241SFA04, FLIR0717241SFA05, FLIR0717241SFA06",33.9,
071724,1,WTC,A,"FLIR0717241WTCA01, FLIR0717241WTCA02, FLIR0717241WTCA03, FLIR0717241WTCA04, FLIR0717241WTCA05, FLIR0717241WTCA06",31.6,
072424,1,SF,A,"FLIR0724241SFA01, FLIR0724241SFA02, FLIR0724241SFA03, FLIR0724241SFA04, FLIR0724241SFA05, FLIR0724241SFA06, FLIR0724241SFA07",32.2,
072424,1,WTC,A,"FLIR0724241WTCA01, FLIR0724241WTCA02, FLIR0724241WTCA03, FLIR0724241WTCA04, FLIR0724241WTCA05, FLIR0724241WTCA06",31.2,
072524,1,SF,A,"FLIR0725241SFA01, FLIR0725241SFA02, FLIR0725241SFA03, FLIR0725241SFA04",33.2,
072524,1,WTC,A,"FLIR0725241WTCA01, FLIR0725241WTCA02, FLIR0725241WTCA03, FLIR0725241WTCA04, FLIR0725241WTCA05",30.2,
071124,1,SF,A,"FLIR0711241SFA01, FLIR0711241SFA02, FLIR0711241SFA03",31.4,33.4
071124,1,WTC,A,"FLIR0711241WTCA01, FLIR0711241WTCA02, FLIR0711241WTCA03",29.1,29.3
072924,1,SF,A,"FLIR0729241SFA01, FLIR0729241SFA02, FLIR0729241SFA03",29.9,31.1
072924,1,WTC,A,"FLIR0729241WTCA01, FLIR0729241WTCA02, FLIR0729241WTCA03",29.8,28.0
073024,1,SF,A,"FLIR0730241SFA01, FLIR0730241SFA02, FLIR0730241SFA03",31.7,32.9
073024,1,WTC,A,"FLIR0730241WTCA01, FLIR0730241WTCA02, FLIR0730241WTCA03",27.6,29.8
073124,1,SF,A,"FLIR0731241SFA01, FLIR0731241SFA02, FLIR0731241SFA03, FLIR0731241SFA04",33.3,
073124,1,WTC,A,"FLIR0731241WTCA01, FLIR0731241WTCA02, FLIR0731241WTCA03, FLIR0731241WTCA04",31.5,
080124,1,SF,A,"FLIR0801241SFA01, FLIR0801241SFA02, FLIR0801241SFA03",33.0,34.2
080124,1,WTC,A,"FLIR0801241WTCA01, FLIR0801241WTCA02, FLIR0801241WTCA03",30.7,29.5
070824,7,34,A,"FLIR070824734A01, FLIR070824734A02, FLIR070824734A03, FLIR070824734A04, FLIR070824734A05, FLIR070824734A06, FLIR070824734A07",31.7,31.7
070824,7,42,A,"FLIR070824742A01, FLIR070824742A02, FLIR070824742A03, FLIR070824742A04, FLIR070824742A05, FLIR070824742A06",32.3,
070924,7,34,A,"FLIR070924734A01, FLIR070924734A02, FLIR070924734A03, FLIR070924734A04, FLIR070924734A05, FLIR070924734A06",31.6,31.7
070924,7,42,A,"FLIR070924742A01, FLIR070924742A02, FLIR070924742A03, FLIR070924742A04, FLIR070924742A05, FLIR070924742A06",32.5,
071024,7,34,A,"FLIR071024734A01, FLIR071024734A02, FLIR071024734A03, FLIR071024734A04, FLIR071024734A05, FLIR071024734A06",32.2,32.1
071024,7,42,A,"FLIR071024742A01, FLIR071024742A02, FLIR071024742A03, FLIR071024742A04, FLIR071024742A05, FLIR071024742A06, FLIR071024742A07",32.6,
071524,7,34,A,"FLIR071524734A01, FLIR071524734A02, FLIR071524734A03, FLIR071524734A04",31.9,31.6
